phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,4,0.09250894070444869,1.248369577931872,طبيعي,High
future_forecast,2,5,0.04112997962091501,1.1868931738125887,طبيعي,Medium
future_forecast,3,6,0.0385304709352094,1.4347871016537386,طبيعي,Medium
future_forecast,4,7,0.03801797574255926,1.1007136398400605,طبيعي,Medium
future_forecast,5,8,0.032216169931613796,0.842589074876551,طبيعي,Medium
future_forecast,6,9,0.03644345204438935,0.9243839722402426,طبيعي,Low
future_forecast,7,10,0.034714333574837816,0.682833501844417,طبيعي,Low
future_forecast,8,11,0.05112366281701904,0.8305895472511889,طبيعي,Low
future_forecast,9,12,0.05561110425183936,0.8752534889736545,طبيعي,Low
future_forecast,10,13,0.06118182724075072,0.9151094848835072,طبيعي,Low
