DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,0.814197360572011,0.2273574357062989,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
2,10,0.6902387963250224,0.3568645062059467,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
3,10,0.6382265050878951,0.49446190744280183,1,8.333333333333332,1,8.333333333333332,0,0.0
4,10,0.46575864325037486,0.23917668912401185,2,16.666666666666664,1,8.333333333333332,0,0.0
5,11,0.8756723292431766,0.7948194117873799,3,25.0,1,8.333333333333332,1,8.333333333333332
6,11,0.6210002449960671,0.34358965378351397,2,16.666666666666664,2,16.666666666666664,1,8.333333333333332
7,11,1.071598930755651,0.3365742516185793,2,16.666666666666664,1,8.333333333333332,1,8.333333333333332
8,11,1.0584046368417677,0.5094122452010544,4,33.33333333333333,4,33.33333333333333,3,25.0
9,11,1.3345999249165557,0.7322199970208048,4,33.33333333333333,3,25.0,3,25.0
10,11,2.653832798253,1.3295649058556587,6,50.0,4,33.33333333333333,3,25.0
11,11,1.505715009018621,0.8413962687763938,4,33.33333333333333,4,33.33333333333333,3,25.0
12,11,1.5481105964587654,0.9308013875300187,5,41.66666666666667,5,41.66666666666667,3,25.0
13,11,1.2873925348796762,0.7486221226679242,4,33.33333333333333,3,25.0,2,16.666666666666664
14,11,1.2210002110761489,0.41567596296399895,4,33.33333333333333,4,33.33333333333333,3,25.0
15,11,1.0966869522414642,0.6680737817748004,4,33.33333333333333,4,33.33333333333333,2,16.666666666666664
