day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,306.0202867451443
2,10,5,50.0,72.50731652102368
3,10,5,50.0,118.61560525558465
4,10,2,20.0,61.10148085029327
5,11,4,36.36363636363637,120.2358399586043
6,11,3,27.27272727272727,98.04074454923227
7,11,2,18.181818181818183,240.37001033524845
8,11,6,54.54545454545454,181.86941924688927
9,11,4,36.36363636363637,146.14840158430195
10,11,3,27.27272727272727,205.5947143634078
11,11,6,54.54545454545454,219.59827355658913
12,11,3,27.27272727272727,181.62188351616405
13,11,5,45.45454545454545,271.4764539912484
14,11,4,36.36363636363637,367.0065762793397
15,11,3,27.27272727272727,189.84176643134046
