day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,118.84862782735276
2,10,3,30.0,132.52645845749757
3,10,5,50.0,238.8008154663142
4,10,5,50.0,156.5120444735035
5,11,3,27.27272727272727,118.84953334477636
6,11,5,45.45454545454545,69.14380604176928
7,11,6,54.54545454545454,136.99464315458465
8,11,5,45.45454545454545,177.99215600216425
9,11,4,36.36363636363637,210.73544078527755
10,11,4,36.36363636363637,135.57219083333325
11,11,5,45.45454545454545,118.00054968932709
12,11,2,18.181818181818183,100.6762222710731
13,11,5,45.45454545454545,109.38518307949127
14,11,5,45.45454545454545,150.5139834232119
15,11,5,45.45454545454545,141.8301254029791
