Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,10.0,9.0,13.0,True
3,9.0,8.0,11.0,True
4,10.0,12.0,11.0,True
5,6.0,13.0,5.0,True
6,4.0,3.0,9.0,True
7,13.0,14.0,5.0,True
8,12.0,14.0,13.0,True
9,8.0,7.0,14.0,True
10,13.0,14.0,4.0,True
11,3.0,2.0,6.0,True
12,14.0,6.0,2.0,True
13,,,,False
