phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,8,0.06901516705570018,0.9089583113111156,طبيعي,High
future_forecast,2,9,0.049778385610215706,1.060609190841202,طبيعي,Medium
future_forecast,3,10,0.07075761027533245,0.6945206637923114,طبيعي,Medium
future_forecast,4,11,0.05819244492308663,1.1314122693118003,طبيعي,Medium
future_forecast,5,12,0.07354118432779476,1.0342723546743278,طبيعي,Medium
future_forecast,6,13,0.0737744174043519,0.9231165833269738,طبيعي,Low
future_forecast,7,14,0.11220110627057328,0.833557893279768,طبيعي,Low
future_forecast,8,15,0.13272517456787436,0.7626994523632923,طبيعي,Low
future_forecast,9,1,0.10208103259644699,1.1134096615960971,طبيعي,Low
future_forecast,10,2,0.10523933332636784,1.2016456542934393,طبيعي,Low
