day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,1,11.11111111111111,1786.8568414847907
2,9,0,0.0,0.0
3,9,1,11.11111111111111,324.85207100591714
4,9,2,22.22222222222222,144.212080430147
5,10,2,20.0,15.615010874455548
6,10,5,50.0,232.01983251750963
7,10,2,20.0,117.14129052674562
8,10,2,20.0,281.6831674939582
9,10,3,30.0,161.09468819981737
10,10,4,40.0,363.35314194635976
11,10,3,30.0,50.5272531441233
12,10,0,0.0,0.0
13,10,1,10.0,483.67620323414036
14,10,1,10.0,1.988781234064252
15,10,1,10.0,0.5636978579481422
