day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,39.4044012699803
2,10,3,30.0,265.45987806515706
3,10,2,20.0,109.77376922565503
4,10,1,10.0,304.53356582388835
5,11,1,9.090909090909092,10.02304147465438
6,11,3,27.27272727272727,375.46956807931696
7,11,2,18.181818181818183,105.26339159291786
8,11,4,36.36363636363637,136.84725326847652
9,11,5,45.45454545454545,244.38746048863777
10,11,4,36.36363636363637,374.4459376335634
11,11,5,45.45454545454545,213.67917047767293
12,11,2,18.181818181818183,49.21834526724971
13,11,2,18.181818181818183,388.6843476409514
14,11,0,0.0,0.0
15,11,1,9.090909090909092,721.8373936014088
