day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,146.73861616439623
2,10,3,30.0,52.82297468946055
3,10,4,40.0,167.845110307785
4,10,4,40.0,179.38980742272844
5,11,4,36.36363636363637,152.22889529280627
6,11,2,18.181818181818183,119.81461786339965
7,11,3,27.27272727272727,168.98118676547128
8,11,0,0.0,0.0
9,11,5,45.45454545454545,137.71992672689197
10,11,6,54.54545454545454,87.55601763658713
11,11,5,45.45454545454545,195.3060498893959
12,11,1,9.090909090909092,49.38790618968299
13,11,0,0.0,0.0
14,11,3,27.27272727272727,114.85908495448274
15,11,3,27.27272727272727,396.0044812359811
