day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,175.46102592925754
2,10,5,50.0,118.39099655165323
3,10,6,60.0,78.72025049263179
4,10,6,60.0,60.346334926859534
5,11,4,36.36363636363637,59.85969188220454
6,11,6,54.54545454545454,43.81841394619031
7,11,3,27.27272727272727,225.59808270051917
8,11,6,54.54545454545454,114.44602881554029
9,11,5,45.45454545454545,96.9626042527395
10,11,4,36.36363636363637,31.506636447266132
11,11,4,36.36363636363637,77.87889135092723
12,11,4,36.36363636363637,64.17541587699537
13,11,3,27.27272727272727,109.51782714819485
14,11,4,36.36363636363637,40.89399357950222
15,11,5,45.45454545454545,69.6861942621427
