day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,6,0,0.0,0.0
2,6,0,0.0,0.0
3,6,0,0.0,0.0
4,6,3,50.0,87.45893058744814
5,7,1,14.285714285714285,76.75632988303232
6,7,0,0.0,0.0
7,7,1,14.285714285714285,112.07638695823067
8,7,2,28.57142857142857,284.2313690626603
9,7,2,28.57142857142857,110.11685150762915
10,7,3,42.857142857142854,151.8752381959138
11,7,1,14.285714285714285,122.63746502753246
12,7,3,42.857142857142854,57.00137237646238
13,7,2,28.57142857142857,108.04476492479844
14,7,2,28.57142857142857,74.7754808587054
15,7,4,57.14285714285714,34.37067199584961
