Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,7.0,6.0,5.0,True
3,1.0,15.0,14.0,True
4,7.0,3.0,6.0,True
5,7.0,8.0,4.0,True
6,15.0,10.0,4.0,True
7,4.0,1.0,10.0,True
8,11.0,14.0,10.0,True
9,15.0,9.0,2.0,True
10,15.0,3.0,14.0,True
11,7.0,11.0,1.0,True
12,3.0,10.0,5.0,True
13,6.0,1.0,3.0,True
