Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,10.0,9.0,7.0,True
3,10.0,11.0,13.0,True
4,7.0,15.0,8.0,True
5,13.0,11.0,1.0,True
6,1.0,2.0,4.0,True
7,12.0,7.0,13.0,True
8,1.0,2.0,5.0,True
9,10.0,9.0,3.0,True
10,12.0,6.0,14.0,True
11,4.0,7.0,9.0,True
12,9.0,11.0,13.0,True
13,2.0,1.0,5.0,True
