day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,4,44.44444444444444,160.0235878016676
2,9,2,22.22222222222222,90.38431037715173
3,9,2,22.22222222222222,411.63954047894447
4,9,3,33.33333333333333,145.24291740465358
5,10,2,20.0,87.01639853046773
6,10,2,20.0,76.83160028365305
7,10,6,60.0,176.97103883841768
8,10,2,20.0,73.85627615761632
9,10,4,40.0,215.16693735848241
10,10,3,30.0,190.4612045651218
11,10,2,20.0,330.5095057632593
12,10,2,20.0,79.7967758702444
13,10,1,10.0,4.35980293478837
14,10,3,30.0,279.6454357329431
15,10,5,50.0,454.8218352670522
