DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,0.23367586610015295,0.06082932656113549,1,7.6923076923076925,1,7.6923076923076925,0,0.0
2,11,0.6240942477433112,0.12704423722878597,2,15.384615384615385,1,7.6923076923076925,1,7.6923076923076925
3,11,1.5442016902130518,0.36210859208761187,3,23.076923076923077,2,15.384615384615385,1,7.6923076923076925
4,11,0.5309971594495448,0.2823487889883972,2,15.384615384615385,1,7.6923076923076925,1,7.6923076923076925
5,12,0.5355680156895466,0.23563164979064768,2,15.384615384615385,2,15.384615384615385,1,7.6923076923076925
6,12,2.3479688528455283,0.7285715523533052,3,23.076923076923077,3,23.076923076923077,3,23.076923076923077
7,11,0.7565572831926614,0.21761031634092282,3,25.0,3,25.0,1,8.333333333333332
8,11,0.2562033391900998,0.195032020182418,0,0.0,0,0.0,0,0.0
9,11,1.2054298130612215,0.22582375896483647,3,25.0,3,25.0,1,8.333333333333332
10,11,0.8657735774383931,0.5116706531793811,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
11,11,1.198538676049328,1.1633061412959829,5,41.66666666666667,5,41.66666666666667,1,8.333333333333332
12,11,0.7969730215316614,0.4394854804131748,2,16.666666666666664,1,8.333333333333332,1,8.333333333333332
13,11,2.618478644434514,0.49577449650002015,3,25.0,3,25.0,3,25.0
14,11,0.7590082997689597,0.14938303402093234,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
15,11,0.23488267834330576,0.11808720285749477,1,8.333333333333332,0,0.0,0,0.0
