Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,14.0,15.0,9.0,True
3,14.0,9.0,12.0,True
4,4.0,6.0,12.0,True
5,3.0,4.0,7.0,True
6,7.0,3.0,2.0,True
7,3.0,13.0,14.0,True
8,5.0,8.0,11.0,True
9,5.0,6.0,2.0,True
10,3.0,13.0,8.0,True
11,6.0,7.0,4.0,True
12,12.0,4.0,11.0,True
13,,,,False
