day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,4,44.44444444444444,367.1318222158602
2,9,5,55.55555555555556,413.2298054834176
3,9,2,22.22222222222222,252.37589620896375
4,9,3,33.33333333333333,574.0113106269761
5,10,2,20.0,139.0096917524482
6,10,1,10.0,100.98965362123255
7,10,1,10.0,33.40849304772642
8,10,3,30.0,84.2590512555654
9,10,3,30.0,454.24507848469904
10,10,3,30.0,367.94978546217925
11,10,1,10.0,476.57595352536396
12,10,2,20.0,176.859332164776
13,10,3,30.0,157.28989621233404
14,10,2,20.0,565.2825283322074
15,10,1,10.0,250.90345343739978
