day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,39.863380065560456
2,10,1,10.0,52.863510292332364
3,10,4,40.0,27.78134439714021
4,10,2,20.0,71.6590224784036
5,11,2,18.181818181818183,120.60053319059358
6,11,7,63.63636363636363,69.62338128938632
7,11,4,36.36363636363637,142.30596805213852
8,11,4,36.36363636363637,43.2725952507949
9,11,5,45.45454545454545,31.397587835177557
10,11,7,63.63636363636363,95.10043970238836
11,11,3,27.27272727272727,118.01582377128165
12,11,4,36.36363636363637,72.78095831267149
13,11,6,54.54545454545454,60.765406651192414
14,11,5,45.45454545454545,51.374240001943505
15,11,6,54.54545454545454,60.6450526097384
