DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,1.0969752582609935,0.3512500996359965,3,23.076923076923077,3,23.076923076923077,3,23.076923076923077
2,11,0.5632629272303328,0.22322501401831726,2,15.384615384615385,2,15.384615384615385,0,0.0
3,11,1.8658154058947714,0.24085543380445715,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
4,11,1.032866545626474,0.8774717514124294,2,15.384615384615385,2,15.384615384615385,1,7.6923076923076925
5,12,0.7859204255272109,0.30682205917905303,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
6,11,0.5358128519578491,0.36738783538056186,2,16.666666666666664,2,16.666666666666664,0,0.0
7,11,1.648218310759764,1.2373371924746746,5,41.66666666666667,5,41.66666666666667,4,33.33333333333333
8,11,0.4489975792807908,0.17036650200758516,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
9,11,1.2969069981026244,0.4266741032523443,3,25.0,3,25.0,3,25.0
10,11,1.1417877046273979,0.11152272404579659,4,33.33333333333333,4,33.33333333333333,4,33.33333333333333
11,11,1.2075066078335182,0.3884122209909767,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
12,11,0.47980460505681405,0.14577898153864535,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
13,11,0.3024741516009533,0.2512627776171639,0,0.0,0,0.0,0,0.0
14,11,1.2790010388843003,0.22945607851268227,4,33.33333333333333,4,33.33333333333333,3,25.0
15,11,2.6906336267952895,1.3224195279846462,6,50.0,5,41.66666666666667,5,41.66666666666667
