day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,106.71344838050273
2,10,2,20.0,77.22945649642865
3,10,3,30.0,124.70042678057142
4,10,4,40.0,98.81412327887864
5,11,2,18.181818181818183,88.3482557536301
6,11,5,45.45454545454545,145.9940843308596
7,11,6,54.54545454545454,144.76636963441146
8,11,7,63.63636363636363,179.8528390088058
9,11,6,54.54545454545454,37.63908919847561
10,11,4,36.36363636363637,63.7040256273981
11,11,3,27.27272727272727,36.33137132850574
12,11,3,27.27272727272727,122.31969656130696
13,11,4,36.36363636363637,47.94945774894627
14,11,1,9.090909090909092,112.96352510744354
15,11,4,36.36363636363637,123.58551374031573
