phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,6,0.037574284696084786,1.3827834334425515,طبيعي,High
future_forecast,2,7,0.04639740954927174,1.2012581130516493,طبيعي,Medium
future_forecast,3,8,0.05098215569470431,1.1019394296122156,طبيعي,Medium
future_forecast,4,9,0.05416853330668967,0.911839898983201,طبيعي,Medium
future_forecast,5,10,0.06900451141145217,0.9855815913945805,طبيعي,Medium
future_forecast,6,11,0.13253231219489114,1.6120269294554517,طبيعي,Low
future_forecast,7,12,0.1718634697448862,1.7577592019716328,طبيعي,Low
future_forecast,8,13,0.10630695901407249,0.7611187027883294,طبيعي,Low
future_forecast,9,14,0.11638459695116626,0.6667822404473872,طبيعي,Low
future_forecast,10,15,0.1600703118178863,0.9900074547067438,طبيعي,Low
