day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,3,33.33333333333333,357.51824952693164
2,9,2,22.22222222222222,237.61027649851027
3,9,2,22.22222222222222,210.55802330252783
4,9,3,33.33333333333333,195.94557377798478
5,10,0,0.0,0.0
6,10,1,10.0,432.9108531259985
7,10,5,50.0,187.2578953157196
8,10,3,30.0,142.43925491616827
9,10,2,20.0,682.472231223508
10,10,3,30.0,62.21220740196967
11,10,2,20.0,312.89522787973385
12,10,4,40.0,263.45153198916125
13,10,2,20.0,239.73096453218992
14,10,3,30.0,92.49578635931697
15,10,4,40.0,156.3820120207473
