day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,59.56451356735672
2,10,3,30.0,139.36027002580178
3,10,3,30.0,50.27095564845513
4,10,6,60.0,40.081461625410135
5,11,5,45.45454545454545,25.43041725873513
6,11,6,54.54545454545454,83.37892072773947
7,11,5,45.45454545454545,75.20546676895273
8,11,4,36.36363636363637,56.27506894104687
9,11,1,9.090909090909092,48.53998473552321
10,11,4,36.36363636363637,34.70707036092907
11,11,5,45.45454545454545,28.631090302147264
12,11,3,27.27272727272727,24.510396422665007
13,11,5,45.45454545454545,40.64849140615449
14,11,2,18.181818181818183,135.70886800600644
15,11,1,9.090909090909092,20.23509494218818
