day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,56.639492127344305
2,10,2,20.0,75.99067787767774
3,10,1,10.0,2.1680448238347694
4,10,2,20.0,98.1057685144907
5,11,2,18.181818181818183,29.899016159057002
6,11,5,45.45454545454545,139.79053200612344
7,11,7,63.63636363636363,57.25655203809477
8,11,3,27.27272727272727,72.80292880944218
9,11,3,27.27272727272727,64.826893520854
10,11,4,36.36363636363637,134.27451797252118
11,11,8,72.72727272727273,88.6361492593146
12,11,4,36.36363636363637,136.8424799295944
13,11,5,45.45454545454545,96.43772335146306
14,11,3,27.27272727272727,129.49039922469197
15,11,4,36.36363636363637,54.235778946274614
