Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,12.0,7.0,6.0,True
3,12.0,6.0,7.0,True
4,9.0,7.0,8.0,True
5,11.0,8.0,9.0,True
6,7.0,4.0,8.0,True
7,3.0,4.0,5.0,True
8,1.0,11.0,7.0,True
9,6.0,7.0,3.0,True
10,1.0,13.0,14.0,True
11,8.0,2.0,9.0,True
12,2.0,7.0,3.0,True
13,1.0,2.0,3.0,True
