Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,12.0,5.0,14.0,True
3,4.0,3.0,14.0,True
4,2.0,13.0,14.0,True
5,1.0,14.0,5.0,True
6,4.0,3.0,13.0,True
7,9.0,4.0,11.0,True
8,15.0,14.0,2.0,True
9,2.0,6.0,1.0,True
10,8.0,12.0,14.0,True
11,8.0,7.0,3.0,True
12,15.0,14.0,11.0,True
13,,,,False
