phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,2,0.18401556883872516,0.9703494143450296,طبيعي,High
future_forecast,2,3,0.22429946800485143,1.0785823056488388,طبيعي,Medium
future_forecast,3,4,0.2563220553069681,1.3435697952608792,طبيعي,Medium
future_forecast,4,5,0.27606831956970573,0.926720918277271,طبيعي,Medium
future_forecast,5,6,0.29424147519757976,0.5187478760953282,طبيعي,Medium
future_forecast,6,7,0.2454221389767932,1.6538852401101338,طبيعي,Low
future_forecast,7,8,0.2340884235281264,1.305136974535573,طبيعي,Low
future_forecast,8,9,0.19150837410299132,1.0574640377050069,طبيعي,Low
future_forecast,9,10,0.16585666954997053,0.9885333171078244,طبيعي,Low
future_forecast,10,11,0.12498452431800672,0.9521971868153529,طبيعي,Low
