day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,45.23664293225342
2,10,8,80.0,37.1619753352835
3,10,7,70.0,45.94313618378188
4,10,5,50.0,98.53452804417876
5,11,2,18.181818181818183,19.783591013601953
6,11,6,54.54545454545454,89.5374789465064
7,11,6,54.54545454545454,34.44287719049389
8,11,2,18.181818181818183,40.42649162288716
9,11,5,45.45454545454545,67.09327532925373
10,11,4,36.36363636363637,25.691399882286255
11,11,6,54.54545454545454,18.8334774206817
12,11,4,36.36363636363637,46.00133993782575
13,11,5,45.45454545454545,39.61591965053326
14,11,4,36.36363636363637,71.7099088069069
15,11,4,36.36363636363637,32.41872480786073
