Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,13.0,5.0,10.0,True
3,6.0,1.0,4.0,True
4,6.0,15.0,7.0,True
5,12.0,7.0,4.0,True
6,9.0,12.0,1.0,True
7,8.0,15.0,14.0,True
8,6.0,14.0,7.0,True
9,12.0,2.0,15.0,True
10,9.0,3.0,6.0,True
11,15.0,5.0,14.0,True
12,8.0,1.0,5.0,True
13,6.0,2.0,1.0,True
