day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,6,60.0,78.53927108198367
2,10,5,50.0,112.38386276450417
3,10,4,40.0,177.68399220842264
4,10,3,30.0,105.9152676873273
5,11,3,27.27272727272727,76.65924948130346
6,11,3,27.27272727272727,147.29434070427985
7,11,4,36.36363636363637,42.24864471912149
8,11,5,45.45454545454545,89.42719634769931
9,11,4,36.36363636363637,378.1189067468297
10,11,6,54.54545454545454,129.13355434122357
11,11,4,36.36363636363637,109.943040701432
12,11,4,36.36363636363637,52.89843508450927
13,11,3,27.27272727272727,47.181941726000154
14,11,1,9.090909090909092,83.07628722829286
15,11,2,18.181818181818183,60.335150511443615
