Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,12.0,10.0,13.0,True
3,2.0,7.0,10.0,True
4,3.0,5.0,4.0,True
5,7.0,13.0,10.0,True
6,4.0,3.0,13.0,True
7,3.0,4.0,6.0,True
8,14.0,1.0,13.0,True
9,8.0,13.0,3.0,True
10,8.0,4.0,11.0,True
11,3.0,4.0,2.0,True
12,2.0,3.0,9.0,True
13,2.0,1.0,3.0,True
