day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,2,20.0,35.8214050842961
2,10,6,60.0,62.073871553591125
3,10,5,50.0,63.84238388251573
4,10,2,20.0,90.44570555017437
5,11,2,18.181818181818183,104.78844403116278
6,11,5,45.45454545454545,50.55470623101746
7,11,3,27.27272727272727,47.41555514251579
8,11,3,27.27272727272727,84.55872391536529
9,11,4,36.36363636363637,54.87541922225031
10,11,3,27.27272727272727,65.40676551503067
11,11,5,45.45454545454545,71.90787185594802
12,11,5,45.45454545454545,54.23301212657293
13,11,3,27.27272727272727,87.14508882525384
14,11,6,54.54545454545454,129.0629445063668
15,11,4,36.36363636363637,57.817096745392206
