phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,9,0.07838544522750693,1.751158544498738,طبيعي,High
future_forecast,2,10,0.10589998204478632,1.3383294888798944,طبيعي,Medium
future_forecast,3,11,0.13279494676229397,1.2469936732993814,طبيعي,Medium
future_forecast,4,12,0.1443958501810137,0.844845394974772,طبيعي,Medium
future_forecast,5,13,0.13248422463087028,0.8984148075006232,طبيعي,Medium
future_forecast,6,14,0.12171446128545187,0.6783050723695939,طبيعي,Low
future_forecast,7,15,0.08149169275546865,0.7232524174936203,طبيعي,Low
future_forecast,8,1,0.055734062869763075,1.264427820061857,طبيعي,Low
future_forecast,9,2,0.046838649440497,0.7779620078792089,طبيعي,Low
future_forecast,10,3,0.02304472449571973,1.1854808435154345,طبيعي,Low
