day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,33.51052327496436
2,10,1,10.0,15.387927322827878
3,10,5,50.0,113.71670800664985
4,10,4,40.0,72.69738698887527
5,11,4,36.36363636363637,129.05756648654656
6,11,5,45.45454545454545,143.65656047725548
7,11,5,45.45454545454545,143.8152574556891
8,11,6,54.54545454545454,77.37922333126465
9,11,4,36.36363636363637,35.7965032756655
10,11,3,27.27272727272727,74.38550625256647
11,11,3,27.27272727272727,274.8499484165852
12,11,3,27.27272727272727,263.97994569486934
13,11,2,18.181818181818183,368.29809001359126
14,11,7,63.63636363636363,148.81641983313014
15,11,2,18.181818181818183,66.01304251770622
