day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,2,20.0,9.607169089786737
2,10,2,20.0,159.10464030395718
3,10,3,30.0,79.00236813665462
4,10,5,50.0,188.19558059400373
5,11,3,27.27272727272727,133.5572443022171
6,11,3,27.27272727272727,79.44732788695471
7,11,5,45.45454545454545,162.40462166076685
8,11,3,27.27272727272727,91.43335919316274
9,11,3,27.27272727272727,116.02470391148347
10,11,8,72.72727272727273,93.15435667703485
11,11,1,9.090909090909092,7.559770268465349
12,11,2,18.181818181818183,192.65515465689512
13,11,7,63.63636363636363,194.29239691468283
14,11,7,63.63636363636363,163.30168165627606
15,11,4,36.36363636363637,86.26763253270671
