phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,9,0.0333576860883304,1.0193143825284414,طبيعي,High
future_forecast,2,10,0.06434196634780925,0.9104094475438561,طبيعي,Medium
future_forecast,3,11,0.07812176677150054,0.8488677545206653,طبيعي,Medium
future_forecast,4,12,0.05368223747996319,0.9735884340760996,طبيعي,Medium
future_forecast,5,13,0.028713550659802297,1.1347442431963666,طبيعي,Medium
future_forecast,6,14,0.02410435291615512,1.1889459855839515,طبيعي,Low
future_forecast,7,15,0.013331818915546204,1.5327777548774117,طبيعي,Low
future_forecast,8,1,0.009451875621082878,1.26609724048621,طبيعي,Low
future_forecast,9,2,0.015358073359958483,1.2318181524752712,طبيعي,Low
future_forecast,10,3,0.011862340281267139,1.1201386251628114,طبيعي,Low
