Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,5.0,6.0,7.0,True
3,8.0,9.0,10.0,True
4,8.0,1.0,5.0,True
5,11.0,12.0,7.0,True
6,12.0,8.0,11.0,True
7,11.0,15.0,1.0,True
8,11.0,6.0,15.0,True
9,8.0,7.0,14.0,True
10,12.0,2.0,1.0,True
11,1.0,2.0,6.0,True
12,12.0,1.0,7.0,True
13,6.0,5.0,2.0,True
