day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,255.38692915152168
2,10,3,30.0,89.12376994683886
3,10,3,30.0,86.432918944202
4,10,2,20.0,123.26730999433248
5,11,7,63.63636363636363,221.37134506328613
6,11,4,36.36363636363637,71.96633517237039
7,11,6,54.54545454545454,145.76162154063337
8,11,4,36.36363636363637,184.35532769863562
9,11,3,27.27272727272727,327.0041617331815
10,11,4,36.36363636363637,125.15750025748815
11,11,4,36.36363636363637,151.97571179695106
12,11,2,18.181818181818183,37.96575256126883
13,11,4,36.36363636363637,107.70962680209
14,11,6,54.54545454545454,79.83985028822802
15,11,7,63.63636363636363,123.77033284878576
