day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,2,22.22222222222222,57.899062301245536
2,9,2,22.22222222222222,35.07396147686188
3,9,3,33.33333333333333,70.2363811684924
4,9,1,11.11111111111111,17.950108372453055
5,10,3,30.0,22.129548412065134
6,10,3,30.0,22.26430019936099
7,10,4,40.0,98.81150444180288
8,10,2,20.0,106.2757494354124
9,10,3,30.0,20.67990651134431
10,10,3,30.0,66.10698036404828
11,10,6,60.0,45.583929999303756
12,10,5,50.0,214.90204012407577
13,10,6,60.0,41.77172289639201
14,10,4,40.0,52.00415469460367
15,10,4,40.0,26.65602955918145
