day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,170.95787887341413
2,10,5,50.0,126.44554035348833
3,10,3,30.0,83.83990243384028
4,10,5,50.0,173.6977978630945
5,11,3,27.27272727272727,83.2646730347535
6,11,2,18.181818181818183,241.06301932130793
7,11,4,36.36363636363637,145.83384667141283
8,11,2,18.181818181818183,118.6755285285792
9,11,3,27.27272727272727,244.10343133937485
10,11,1,9.090909090909092,174.60363075785224
11,11,3,27.27272727272727,103.5466867760797
12,11,2,18.181818181818183,140.41514443606303
13,11,5,45.45454545454545,58.237160547360965
14,11,3,27.27272727272727,119.39759836231163
15,11,4,36.36363636363637,181.8328139665279
