Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,13.0,8.0,10.0,True
3,3.0,6.0,5.0,True
4,7.0,6.0,8.0,True
5,1.0,3.0,5.0,True
6,6.0,5.0,4.0,True
7,11.0,4.0,7.0,True
8,14.0,11.0,6.0,True
9,8.0,2.0,3.0,True
10,2.0,13.0,14.0,True
11,15.0,14.0,3.0,True
12,1.0,2.0,3.0,True
13,5.0,2.0,1.0,True
