day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,6,60.0,264.96245855270826
2,10,6,60.0,210.2044123791029
3,10,5,50.0,121.71247631044392
4,10,8,80.0,79.7436235788905
5,11,3,27.27272727272727,123.19861337146877
6,11,2,18.181818181818183,17.257703578149286
7,11,3,27.27272727272727,227.43639174661212
8,11,6,54.54545454545454,37.79875917800916
9,11,4,36.36363636363637,206.67501332722162
10,11,3,27.27272727272727,131.7427849028249
11,11,3,27.27272727272727,177.03660403535855
12,11,1,9.090909090909092,121.44033777408158
13,11,0,0.0,0.0
14,11,5,45.45454545454545,159.04719288795692
15,11,2,18.181818181818183,43.31458214491716
