day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,79.82463631229373
2,10,3,30.0,56.589443025768425
3,10,6,60.0,35.52828621952131
4,10,4,40.0,66.08813852172052
5,11,4,36.36363636363637,68.41855443777975
6,11,6,54.54545454545454,108.91589389406862
7,11,5,45.45454545454545,23.248713040859073
8,11,8,72.72727272727273,36.56851685612878
9,11,2,18.181818181818183,368.1342584916664
10,11,3,27.27272727272727,37.84596700187249
11,11,2,18.181818181818183,14.678406532138345
12,11,5,45.45454545454545,81.01405623133282
13,11,3,27.27272727272727,55.647565443614155
14,11,6,54.54545454545454,29.578045061365273
15,11,5,45.45454545454545,59.54981784840835
