day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,28.43095800506324
2,10,3,30.0,122.13106668413138
3,10,2,20.0,49.77373389041387
4,10,3,30.0,33.99062863758562
5,11,2,18.181818181818183,55.6737780657201
6,11,6,54.54545454545454,19.391337594598077
7,11,4,36.36363636363637,57.389671284080336
8,11,5,45.45454545454545,65.99604242542769
9,11,5,45.45454545454545,71.34495558661614
10,11,3,27.27272727272727,26.563921100722496
11,11,5,45.45454545454545,40.02669027588934
12,11,6,54.54545454545454,193.2903252192231
13,11,5,45.45454545454545,45.5531662884842
14,11,4,36.36363636363637,32.878608092025395
15,11,6,54.54545454545454,36.33834610348932
