day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,4,40.0,60.974622743014194
2,10,4,40.0,79.11383504857533
3,10,2,20.0,30.351402214229672
4,10,4,40.0,59.695847772918825
5,11,4,36.36363636363637,81.68356164024667
6,11,3,27.27272727272727,325.9766245829929
7,11,5,45.45454545454545,89.26804560937998
8,11,4,36.36363636363637,41.51965872122224
9,11,3,27.27272727272727,33.41430123482095
10,11,1,9.090909090909092,41.27705841652664
11,11,2,18.181818181818183,40.944132523304155
12,11,5,45.45454545454545,40.44723054765038
13,11,4,36.36363636363637,98.01574424477286
14,11,3,27.27272727272727,14.48799681434658
15,11,3,27.27272727272727,61.3740525017319
