day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,47.05479269103944
2,10,3,30.0,72.13095234933208
3,10,2,20.0,89.36537797664937
4,10,1,10.0,133.76265290340433
5,11,7,63.63636363636363,39.30169394456392
6,11,7,63.63636363636363,110.63404744930378
7,11,4,36.36363636363637,178.70902490432942
8,11,3,27.27272727272727,50.83515404916142
9,11,3,27.27272727272727,152.02304227438006
10,11,2,18.181818181818183,95.06390469331309
11,11,3,27.27272727272727,69.38249249610472
12,11,4,36.36363636363637,50.39607083426849
13,11,5,45.45454545454545,20.591267818513522
14,11,4,36.36363636363637,139.55747495422378
15,11,2,18.181818181818183,235.23992196990264
