day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,3,33.33333333333333,97.95426983148381
2,9,3,33.33333333333333,43.01358723869411
3,9,2,22.22222222222222,51.331069410448634
4,9,5,55.55555555555556,133.9472101639552
5,10,4,40.0,151.37091919350013
6,10,4,40.0,22.858365685701393
7,10,3,30.0,164.21544249900631
8,10,4,40.0,120.77247155638477
9,10,5,50.0,355.94890770431715
10,10,3,30.0,51.00325219668637
11,10,3,30.0,122.05422656251397
12,10,4,40.0,100.65430394491538
13,10,3,30.0,39.01152402829153
14,10,2,20.0,33.86560132701025
15,10,5,50.0,59.49109859603425
