day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,4,44.44444444444444,191.91283606313118
2,9,1,11.11111111111111,53.246530752098664
3,9,2,22.22222222222222,213.26185818157722
4,9,0,0.0,0.0
5,10,2,20.0,202.62092384064928
6,10,5,50.0,165.88542579855095
7,10,3,30.0,91.42712285809093
8,10,1,10.0,1031.8758963975365
9,10,2,20.0,452.5139277086329
10,10,5,50.0,202.62039990525554
11,10,2,20.0,157.7099045884882
12,10,2,20.0,316.77019332085246
13,10,5,50.0,310.38521571196503
14,10,5,50.0,247.7681433169565
15,10,4,40.0,243.90047802913557
