day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,2,22.22222222222222,512.5932157694313
2,9,2,22.22222222222222,162.35282174356803
3,9,4,44.44444444444444,454.6248439897754
4,9,2,22.22222222222222,106.2020325546091
5,10,3,30.0,17.736694913750885
6,10,2,20.0,841.2641653557567
7,10,2,20.0,123.33224601489333
8,10,2,20.0,112.39285962458194
9,10,2,20.0,72.80907646215132
10,10,4,40.0,235.47627382064823
11,10,1,10.0,212.051649928264
12,10,2,20.0,451.87457869353767
13,10,2,20.0,28.789172619648696
14,10,4,40.0,240.337112178763
15,10,4,40.0,207.9951050352911
