Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,10.0,14.0,15.0,True
3,1.0,2.0,12.0,True
4,7.0,15.0,8.0,True
5,2.0,3.0,1.0,True
6,11.0,12.0,13.0,True
7,9.0,8.0,2.0,True
8,2.0,4.0,1.0,True
9,7.0,6.0,3.0,True
10,7.0,6.0,8.0,True
11,2.0,12.0,1.0,True
12,6.0,7.0,2.0,True
