phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,3,0.5193119136180883,1.1285404413337645,مرتفع,High
future_forecast,2,4,0.6056911131324019,1.1716287743097618,مرتفع,Medium
future_forecast,3,5,0.6347296394994473,1.6680361877535679,مرتفع,Medium
future_forecast,4,6,0.7613594192805716,1.063464489014911,مرتفع,Medium
future_forecast,5,7,0.8408366159587057,0.8954307855896825,مرتفع,Medium
future_forecast,6,8,0.9089302884335009,1.085414847765579,مرتفع,Low
future_forecast,7,9,0.9113373159999663,1.6495172640348656,مرتفع,Low
future_forecast,8,10,0.8799679149619449,1.3729985468768109,مرتفع,Low
future_forecast,9,11,0.8848303783539889,0.8115069798503766,مرتفع,Low
future_forecast,10,12,0.8667332930285082,0.6362601207163476,مرتفع,Low
