DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,0.9368158985687771,1.0805391968388234,4,30.76923076923077,0,0.0,0,0.0
2,11,0.9062028687642596,0.9054385017844846,2,15.384615384615385,0,0.0,0,0.0
3,11,0.9242646414961772,0.8696598087350208,2,15.384615384615385,1,7.6923076923076925,0,0.0
4,11,0.8149367671833062,0.7962147848204506,2,15.384615384615385,0,0.0,0,0.0
5,12,0.9755759632104595,0.7805873574076829,3,23.076923076923077,3,23.076923076923077,1,7.6923076923076925
6,11,1.0579582014557745,0.9812107469984749,3,25.0,2,16.666666666666664,1,8.333333333333332
7,11,0.9725073208342465,0.920463019811037,2,16.666666666666664,1,8.333333333333332,0,0.0
8,11,1.0082654652208058,0.9870877319852469,2,16.666666666666664,1,8.333333333333332,0,0.0
9,11,1.0222374198245598,1.1049860281432844,3,25.0,0,0.0,0,0.0
10,11,1.225327556018354,0.9568701883209659,3,25.0,3,25.0,2,16.666666666666664
11,11,1.2803882339549195,1.2658231053542124,6,50.0,3,25.0,2,16.666666666666664
12,11,1.3006175591206623,0.8836967058036057,3,25.0,3,25.0,2,16.666666666666664
13,11,0.9820380764716581,0.7431898962631397,3,25.0,1,8.333333333333332,1,8.333333333333332
14,11,1.1209394988771744,0.9119979384806616,3,25.0,2,16.666666666666664,1,8.333333333333332
15,11,1.1589672531803754,1.1085506293049563,4,33.33333333333333,3,25.0,2,16.666666666666664
