day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,272.2329195994719
2,10,3,30.0,119.82486623696934
3,10,2,20.0,69.11922539993768
4,10,3,30.0,372.0226440261335
5,11,2,18.181818181818183,780.4792945352485
6,11,0,0.0,0.0
7,11,4,36.36363636363637,371.4872956838938
8,11,3,27.27272727272727,489.8171638925143
9,11,3,27.27272727272727,123.57602917393034
10,11,1,9.090909090909092,32.25198955106008
11,11,3,27.27272727272727,73.23621578234493
12,11,2,18.181818181818183,338.4562768517818
13,11,1,9.090909090909092,44.90121732189183
14,11,3,27.27272727272727,492.7651040022379
15,11,2,18.181818181818183,569.2974698923613
