phase,session_offset,day_in_cycle,forecast_probability,expected_relative_volume,high_liquidity_probability_label,confidence_level
future_forecast,1,4,0.06774657854137414,0.859789143953775,طبيعي,High
future_forecast,2,5,0.0640849583393269,0.8837247132229739,طبيعي,Medium
future_forecast,3,6,0.055089420644788244,1.0362015385497705,طبيعي,Medium
future_forecast,4,7,0.07104382082802647,0.7835755838235176,طبيعي,Medium
future_forecast,5,8,0.0586497092778723,0.9863345500064546,طبيعي,Medium
future_forecast,6,9,0.06458551604543626,0.9478201244142613,طبيعي,Low
future_forecast,7,10,0.07219001615203731,0.907451051361808,طبيعي,Low
future_forecast,8,11,0.06265280334327103,1.1008822708221846,طبيعي,Low
future_forecast,9,12,0.07769752216146625,1.0044314783705106,طبيعي,Low
future_forecast,10,13,0.0801135348547644,1.054267028960534,طبيعي,Low
