day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,4,44.44444444444444,21.599347181281217
2,9,2,22.22222222222222,80.40042089565254
3,9,3,33.33333333333333,256.6216565623066
4,9,2,22.22222222222222,192.76941595337638
5,10,6,60.0,293.77526060599985
6,10,5,50.0,99.50597873635255
7,10,5,50.0,121.61876728715106
8,10,1,10.0,268.16150297107134
9,10,1,10.0,112.89503474237704
10,10,1,10.0,87.99777288239817
11,10,2,20.0,62.72653576335215
12,10,3,30.0,80.10654404046637
13,10,3,30.0,38.02419949261935
14,10,3,30.0,102.29167214483688
15,10,3,30.0,18.31648959571101
