day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,2,22.22222222222222,49.14629155651963
2,9,5,55.55555555555556,107.11232751649523
3,9,3,33.33333333333333,201.33315187793758
4,9,4,44.44444444444444,233.06783930120847
5,10,4,40.0,112.26500648526806
6,10,4,40.0,55.78375543551529
7,10,4,40.0,47.52048271396565
8,10,2,20.0,258.98169941417393
9,10,3,30.0,95.6611093856186
10,10,3,30.0,17.96530291129456
11,10,1,10.0,75.85252643299702
12,10,5,50.0,23.356064313985474
13,10,5,50.0,202.1458554297516
14,10,3,30.0,43.769594051712296
15,10,4,40.0,99.88473132864347
