Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,12.0,15.0,14.0,True
3,12.0,2.0,13.0,True
4,10.0,8.0,11.0,True
5,6.0,5.0,13.0,True
6,3.0,5.0,2.0,True
7,9.0,6.0,8.0,True
8,13.0,1.0,14.0,True
9,12.0,9.0,3.0,True
10,2.0,4.0,1.0,True
11,6.0,14.0,7.0,True
12,1.0,6.0,8.0,True
13,2.0,1.0,3.0,True
