DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,1.0908017925557743,0.3089280197713933,3,23.076923076923077,2,15.384615384615385,2,15.384615384615385
2,11,2.447999223917646,2.2419281491587086,7,53.84615384615385,7,53.84615384615385,6,46.15384615384615
3,11,1.8902849926352219,0.8542166049248202,4,30.76923076923077,3,23.076923076923077,3,23.076923076923077
4,11,0.5672697477884622,0.17188283320203396,3,23.076923076923077,3,23.076923076923077,0,0.0
5,12,1.819995783746708,1.1995476028003134,6,46.15384615384615,5,38.46153846153847,4,30.76923076923077
6,11,1.331837225141346,0.20473822755191576,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
7,11,1.4045584609012978,1.0003418024381907,4,33.33333333333333,4,33.33333333333333,4,33.33333333333333
8,11,1.7331349439012411,0.3789380920907689,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
9,11,0.5012251868469606,0.2768826828977205,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
10,11,0.6665809729711721,0.5771495877502945,3,25.0,1,8.333333333333332,0,0.0
11,11,0.5350849522291319,0.47775307857873756,1,8.333333333333332,1,8.333333333333332,0,0.0
12,11,0.171669194324621,0.13610888710968774,0,0.0,0,0.0,0,0.0
13,11,0.32435244464422774,0.22448788700776356,1,8.333333333333332,0,0.0,0,0.0
14,11,0.6524623163458675,0.5509641873278237,1,8.333333333333332,1,8.333333333333332,0,0.0
15,11,1.1871364907947073,0.4730617608409987,3,25.0,3,25.0,2,16.666666666666664
