DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,10,1.0812919942374406,0.7520543780568403,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
2,10,1.0919355625917204,0.8270805669344213,3,25.0,2,16.666666666666664,1,8.333333333333332
3,10,1.092660278159897,0.8849157370638205,3,25.0,2,16.666666666666664,2,16.666666666666664
4,10,1.055840369076643,0.7645482190468775,3,25.0,2,16.666666666666664,2,16.666666666666664
5,11,0.8972777672032919,0.6468814246006089,2,16.666666666666664,2,16.666666666666664,2,16.666666666666664
6,11,1.7306100584087425,0.8036147183463145,4,33.33333333333333,4,33.33333333333333,3,25.0
7,11,0.8658187878251001,0.6773691395338672,2,16.666666666666664,1,8.333333333333332,1,8.333333333333332
8,11,0.8413325019410629,0.8906752841149408,2,16.666666666666664,2,16.666666666666664,0,0.0
9,11,1.1528764008274823,0.6561320032588951,2,16.666666666666664,2,16.666666666666664,1,8.333333333333332
10,11,0.6514891530024542,0.5461726033477785,0,0.0,0,0.0,0,0.0
11,11,0.6629686460552308,0.5784822188343884,0,0.0,0,0.0,0,0.0
12,11,1.5062049183238102,0.9561279445792606,3,25.0,2,16.666666666666664,2,16.666666666666664
13,11,0.972372280854173,0.9071450413255453,2,16.666666666666664,1,8.333333333333332,1,8.333333333333332
14,11,0.8785007216290672,0.7208587540437238,1,8.333333333333332,1,8.333333333333332,1,8.333333333333332
15,11,0.6136153531286013,0.5712962880031328,0,0.0,0,0.0,0,0.0
