Cycle,HighestLiquidityDay,SecondHighestDay,ThirdHighestDay,valid
1,,,,False
2,13.0,7.0,10.0,True
3,3.0,12.0,9.0,True
4,10.0,14.0,9.0,True
5,4.0,14.0,3.0,True
6,12.0,13.0,4.0,True
7,14.0,13.0,3.0,True
8,4.0,1.0,2.0,True
9,12.0,15.0,8.0,True
10,12.0,9.0,8.0,True
11,4.0,11.0,3.0,True
12,8.0,9.0,3.0,True
13,2.0,3.0,1.0,True
