day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,193.3613695171341
2,10,4,40.0,162.14140011493475
3,10,4,40.0,192.7427270269218
4,10,3,30.0,116.07365791535393
5,11,2,18.181818181818183,42.077739248070735
6,11,3,27.27272727272727,165.59714808781837
7,11,9,81.81818181818183,96.87424987781296
8,11,4,36.36363636363637,140.28831665840144
9,11,5,45.45454545454545,102.92733904920956
10,11,4,36.36363636363637,46.17326712167551
11,11,4,36.36363636363637,233.1535376578204
12,11,6,54.54545454545454,108.88381364212687
13,11,3,27.27272727272727,176.42904109831284
14,11,4,36.36363636363637,127.40761559781677
15,11,3,27.27272727272727,43.402687158430346
