day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,3,30.0,45.375096638048525
2,10,5,50.0,92.59670090093503
3,10,6,60.0,75.22814222225357
4,10,4,40.0,50.82138624674532
5,11,1,9.090909090909092,114.97804318276934
6,11,4,36.36363636363637,126.14275050817022
7,11,4,36.36363636363637,40.783294064551455
8,11,3,27.27272727272727,74.39206745506296
9,11,4,36.36363636363637,117.1486088840416
10,11,4,36.36363636363637,73.19957121508244
11,11,2,18.181818181818183,42.558367307753755
12,11,4,36.36363636363637,98.45465834224026
13,11,6,54.54545454545454,130.9128641624229
14,11,4,36.36363636363637,22.66832108433685
15,11,2,18.181818181818183,163.76630803872786
