day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,50.854148213312506
2,10,5,50.0,19.456415357972286
3,10,5,50.0,114.42635623866622
4,10,3,30.0,217.85345947281556
5,11,5,45.45454545454545,57.83871121692813
6,11,2,18.181818181818183,40.88567322456301
7,11,5,45.45454545454545,74.31468089013583
8,11,2,18.181818181818183,32.51714117093767
9,11,4,36.36363636363637,321.11313208966635
10,11,6,54.54545454545454,124.4013967446797
11,11,2,18.181818181818183,49.52398976184145
12,11,1,9.090909090909092,133.66354231788318
13,11,3,27.27272727272727,117.43036652367778
14,11,4,36.36363636363637,26.072168858452045
15,11,1,9.090909090909092,19.65200534307183
