day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,10,5,50.0,75.35174354280335
2,10,5,50.0,81.77794567159773
3,10,4,40.0,186.2363016786416
4,10,4,40.0,97.7447807354373
5,11,5,45.45454545454545,33.80888219889226
6,11,5,45.45454545454545,30.445727261493623
7,11,4,36.36363636363637,92.24278880622614
8,11,5,45.45454545454545,69.12602037977305
9,11,3,27.27272727272727,183.00158286068734
10,11,3,27.27272727272727,320.1964843025633
11,11,5,45.45454545454545,149.2786812407888
12,11,3,27.27272727272727,152.49302489295223
13,11,6,54.54545454545454,110.74213586749653
14,11,1,9.090909090909092,121.04609493094371
15,11,5,45.45454545454545,59.19609714471992
